expense_id,project_id,sap_cost_center,booking_date,expense_type,amount,sap_cost_code,gl_account,vendor,status,comment,source_system,tax_code,gst_amount,po_reference,po_value,contract_ref,po_status
1,1,CC-MEL-01,2026-02-26,Subcontractor,390900.27,SAP-5001,GL-6100,Hickory Group,Paid,,Trade Account,G11,39090.03,PO-2026-1020,393812.21,CTR-CC-MEL-01-01,Matched
2,1,CC-MEL-01,2026-08-07,Subcontractor,875771.8,SAP-5001,GL-6100,Kane Constructions,Approved,,Trade Account,G11,87577.18,,0.0,,No PO
3,1,CC-MEL-01,2026-02-21,Subcontractor,1033214.82,SAP-5001,GL-6100,Kane Constructions,Approved,,Trade Account,G11,103321.48,PO-2026-1046,1044438.23,CTR-CC-MEL-01-01,Matched
4,1,CC-MEL-01,2026-07-09,Subcontractor,1331364.7,SAP-5001,GL-6100,Hickory Group,Pending,,Trade Account,G11,133136.47,PO-2026-1059,1427684.93,CTR-CC-MEL-01-01,Matched
5,1,CC-MEL-01,2026-07-13,Subcontractor,742822.62,SAP-5001,GL-6100,Kapitol Group,Approved,,Trade Account,G11,74282.26,PO-2026-1072,756082.47,CTR-CC-MEL-01-01,Matched
6,1,CC-MEL-01,2026-10-17,Materials,648008.36,SAP-5002,GL-6200,Hanson Construction Materials,Approved,,Site System,G11,64800.84,,0.0,,No PO
7,1,CC-MEL-01,2026-06-15,Subcontractor,1301530.28,SAP-5001,GL-6100,Kane Constructions,Approved,,Trade Account,G11,130153.03,PO-2026-1098,1348018.21,CTR-CC-MEL-01-01,Matched
8,1,CC-MEL-01,2026-07-09,Materials,682594.43,SAP-5002,GL-6200,Saint-Gobain Placo,Approved,,Trade Account,G11,68259.44,,0.0,,No PO
9,1,CC-MEL-01,2026-11-06,Materials,450754.75,SAP-5002,GL-6200,James Hardie Building Products,On Hold,,Manual Entry,G11,45075.48,PO-2026-1124,452048.53,CTR-CC-MEL-01-01,Matched
10,1,CC-MEL-01,2026-08-25,Subcontractor,213021.82,SAP-5001,GL-6100,Hacer Group,Approved,,Trade Account,G11,21302.18,PO-2026-1137,253600.46,CTR-CC-MEL-01-01,Matched
11,1,CC-MEL-01,2026-03-28,Subcontractor,458451.51,SAP-5001,GL-6100,Built Environs,Pending,,Trade Account,G11,45845.15,,0.0,,No PO
